x0000,y0000,x0001,y0001
4.999342,315.6316281285,4.999342,312.2395641502
5.500205,310.5445099227,5.500205,312.808351505
6.000202,310.2756069794,6.000202,313.472691137
6.500245,310.0232834512,6.500245,314.2437277151
7.00023,310.6425828139,7.00023,315.1311609940
7.50023,310.3824406302,7.50023,316.1443197621
8.00023,310.5867931564,8.00023,317.2913488374
8.500244,313.6297211951,8.500244,318.5789808294
9.000232,320.0343826204,9.000232,320.0118732247
9.50023,324.2426614903,9.50023,321.5924977432
10.000248,326.2698581725,10.000248,323.3204348837
10.500252,328.4456777368,10.500252,325.1918481869
11.000236,328.9180770726,11.000236,327.1993608942
11.500261,331.6242394367,11.500261,329.3319850592
12.000258,334.7155069151,12.000258,331.5741095655
12.500255,336.3815449145,12.500255,333.9063916362
13.000199,336.9399337238,13.000199,336.3050611884
13.500201,340.8563600675,13.500201,338.7433221693
14.000224,342.2386312448,14.000224,341.1902459738
14.500259,342.9958683777,14.500259,343.6121562241
15.000216,343.3691266159,15.000216,345.9728271033
15.500221,348.495240723,15.500221,348.2357251494
16.000253,346.0172875150,16.000253,350.3631979704
16.500249,349.528786385,16.500249,352.3180672265
17.000283,355.1807412317,17.000283,354.0653771346
17.500272,354.8179996525,17.500272,355.5723261297
18.000286,353.4032896013,18.000286,356.8103497717
18.500276,362.344671813,18.500276,357.7551788494
19.000275,356.4413751490,19.000275,358.3881650250
19.500284,362.2599684244,19.500284,358.6966078913
20.000263,361.7249641869,20.000263,358.6742820815
20.500317,359.7393375884,20.500317,358.3215896358
21.000307,360.5696834132,21.000307,357.6457259435
21.500343,356.7537646971,21.500343,356.6600882848
22.00037,351.6334536167,22.00037,355.3842485874
22.500386,353.5985953879,22.500386,353.8430545794
23.00037,349.9985512559,23.00037,352.0659512166
23.50029,348.533598113,23.50029,350.0860525566
24.000375,346.3427116724,24.000375,347.937922486
24.500305,345.9758104766,24.500305,345.6599811131
25.00028,342.4114713757,25.00028,343.2888906452
25.500269,340.4494853097,25.500269,340.8617846134
26.000241,338.051385693,26.000241,338.4143608361
26.500294,336.0796631941,26.500294,335.9794192775
27.000265,335.1472212951,27.000265,333.5880766049
27.500246,330.2497942214,27.500246,331.2667190365
28.000274,328.2934545729,28.000274,329.0381661587
28.500235,326.5599197548,28.500235,326.9218223927
29.000315,324.3035377432,29.000315,324.9316875112
29.500313,323.3834546292,29.500313,323.0792792337
30.000267,321.7377352728,30.000267,321.3712385697
30.50024,320.9923437472,30.50024,319.8105994658
31.000487,319.831056206,31.000487,318.3967523425
31.500631,317.8666949046,31.500631,317.1281114489
32.000563,317.6612807349,32.000563,315.9997627018
32.500575,317.3135851002,32.500575,315.0040715128
33.000653,316.0373343158,33.000653,314.1327863979
33.500443,314.6782936389,33.500443,313.3771229531
34.000659,313.7618546824,34.000659,312.7261207713
34.500622,312.8439884260,34.500622,312.1705381754
35.000691,311.4351361211,35.000691,311.6997898043
35.500643,311.3001613903,35.500643,311.3042215381
36.000679,310.6199053296,36.000679,310.974271801
36.500687,310.7296563877,36.500687,310.7012382842
37.000748,310.4463946681,37.000748,310.4769940352
37.500779,310.2296422625,37.500779,310.2942496844
38.000407,310.4302779923,38.000407,310.1465448888
38.500305,311.3725685324,38.500305,310.0278916732
39.000306,310.8351653716,39.000306,309.9333257225
39.500353,310.968014534,39.500353,309.8585273251
40.000484,310.92157144,40.000484,309.7997985972
